,RXDDRGID,RXDDRUG,RXDINGFL,RXDDCI1A,RXDDCI1B,RXDDCI1C,RXDDCI2A,RXDDCI2B,RXDDCI2C,RXDDCI3A,RXDDCI3B,RXDDCI3C,RXDDCI4A,RXDDCI4B,RXDDCI4C,RXDICI1A,RXDICI1B,RXDICI1C,RXDICI2A,RXDICI2B,RXDICI2C,RXDICI3A,RXDICI3B,RXDICI3C,RXDICI4A,RXDICI4B,RXDICI4C,RXDICI5A,RXDICI5B,RXDICI5C,RXDICI6A,RXDICI6B,RXDICI6C,RXDDCN1A,RXDDCN1B,RXDDCN1C,RXDDCN2A,RXDDCN2B,RXDDCN2C,RXDDCN3A,RXDDCN3B,RXDDCN3C,RXDDCN4A,RXDDCN4B,RXDDCN4C,RXDICN1A,RXDICN1B,RXDICN1C,RXDICN2A,RXDICN2B,RXDICN2C,RXDICN3A,RXDICN3B,RXDICN3C,RXDICN4A,RXDICN4B,RXDICN4C,RXDICN5A,RXDICN5B,RXDICN5C,RXDICN6A,RXDICN6B,RXDICN6C
0,b'a10061',b'BILE SALTS; PANCREATIN; PEPSIN',2.0,87.0,96.0,,,,,,,,,,,87.0,91.0,,87.0,92.0,,,,,,,,,,,,,,b'GASTROINTESTINAL AGENTS',b'MISCELLANEOUS GI AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'GASTROINTESTINAL AGENTS',b'DIGESTIVE ENZYMES',b'',b'GASTROINTESTINAL AGENTS',b'GALLSTONE SOLUBILIZING AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
1,b'a10129',b'CALCIUM IODIDE; CODEINE',2.0,122.0,124.0,,,,,,,,,,,57.0,58.0,60.0,105.0,110.0,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTITUSSIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'NARCOTIC ANALGESICS',b'MISCELLANEOUS AGENTS',b'MISCELLANEOUS UNCATEGORIZED AGENTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
2,b'a10899',b'ESTRADIOL; ESTRIOL; ESTRONE',2.0,97.0,101.0,187.0,,,,,,,,,,97.0,101.0,183.0,97.0,101.0,187.0,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'MISCELLANEOUS SEX HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'ESTROGENS',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'MISCELLANEOUS SEX HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
3,b'a10900',b'ESTRADIOL; ESTRIOL',2.0,97.0,101.0,187.0,,,,,,,,,,97.0,101.0,183.0,,,,,,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'MISCELLANEOUS SEX HORMONES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'ESTROGENS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
4,b'a11077',b'HYDROCHLOROTHIAZIDE; LABETALOL',2.0,40.0,55.0,472.0,,,,,,,,,,40.0,47.0,275.0,40.0,49.0,156.0,,,,,,,,,,,,,b'CARDIOVASCULAR AGENTS',b'ANTIHYPERTENSIVE COMBINATIONS',b'BETA BLOCKERS WITH THIAZIDES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CARDIOVASCULAR AGENTS',b'BETA-ADRENERGIC BLOCKING AGENTS',"b'BETA BLOCKERS, NON-CARDIOSELECTIVE'",b'CARDIOVASCULAR AGENTS',b'DIURETICS',b'THIAZIDE AND THIAZIDE-LIKE DIURETICS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
5,b'a11122',b'ACETAMINOPHEN; CHLORZOXAZONE',2.0,57.0,73.0,179.0,,,,,,,,,,57.0,58.0,59.0,57.0,73.0,178.0,,,,,,,,,,,,,b'CENTRAL NERVOUS SYSTEM AGENTS',b'MUSCLE RELAXANTS',b'SKELETAL MUSCLE RELAXANT COMBINATIONS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'CENTRAL NERVOUS SYSTEM AGENTS',b'ANALGESICS',b'MISCELLANEOUS ANALGESICS',b'CENTRAL NERVOUS SYSTEM AGENTS',b'MUSCLE RELAXANTS',b'SKELETAL MUSCLE RELAXANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
6,b'a11179',b'IODINATED GLYCEROL; THEOPHYLLINE',2.0,122.0,131.0,,,,,,,,,,,122.0,125.0,126.0,122.0,128.0,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'ANTIASTHMATIC COMBINATIONS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'BRONCHODILATORS',b'METHYLXANTHINES',b'RESPIRATORY AGENTS',b'EXPECTORANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
7,b'a11273',b'DEXTROMETHORPHAN; IODINATED GLYCEROL',2.0,122.0,132.0,,,,,,,,,,,122.0,124.0,,122.0,128.0,,,,,,,,,,,,,,b'RESPIRATORY AGENTS',b'UPPER RESPIRATORY COMBINATIONS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'RESPIRATORY AGENTS',b'ANTITUSSIVES',b'',b'RESPIRATORY AGENTS',b'EXPECTORANTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
8,b'a11284',b'ETHINYL ESTRADIOL; FERROUS FUMARATE; NORETHINDRONE',2.0,97.0,101.0,102.0,,,,,,,,,,97.0,101.0,183.0,97.0,101.0,185.0,115.0,116.0,,,,,,,,,,,b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'CONTRACEPTIVES',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'ESTROGENS',b'HORMONES/HORMONE MODIFIERS',b'SEX HORMONES',b'PROGESTINS',b'NUTRITIONAL PRODUCTS',b'IRON PRODUCTS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
9,b'a11457',b'CYANOCOBALAMIN; PYRIDOXINE; THIAMINE',2.0,115.0,119.0,,,,,,,,,,,115.0,119.0,,,,,,,,,,,,,,,,,b'NUTRITIONAL PRODUCTS',b'VITAMINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'NUTRITIONAL PRODUCTS',b'VITAMINS',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b'',b''
